key,name,subhead,description,rating,rating_count,ingredients,base_flavor
20_bj,CHUBBY HUBBY®,VANILLA MALT ICE CREAM WITH PEANUTTY FUDGE-COVERED PRETZELS WITH FUDGE & PEANUT BUTTERY SWIRLS,"TWO TRICKSTERS CONVINCED A CO-WORKER THIS FLAVOR REALLY EXISTED (IT DIDN’T), THEN FELT GUILTY & MADE HIM AN ACTUAL BATCH PACKED WITH PRETZELS, PEANUT BUTTER & FUDGE. HE LOVED IT, SO DID WE, & THE REST IS HISTORY. ENJOY!",4.3,118,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, WHEAT FLOUR, COCONUT OIL, PARTIALLY DEFATTED PEANUT FLOUR, EGG YOLKS, BUTTER (CREAM, SALT), PEANUT OIL, BARLEY MALT, VANILLA EXTRACT, MILK, COCOA (PROCESSED WITH ALKALI), SALT, SOY LECITHIN, COCOA, CHOCOLATE LIQUOR, SOYBEAN OIL, GUAR GUM, ENZYMES, BAKING SODA, CARRAGEENAN",VANILLA MALT
21_bj,CHUNKY MONKEY®,BANANA ICE CREAM WITH FUDGE CHUNKS & WALNUTS,"TO CREATE A FLAVOR AS FUN AS THE NAME, WE MONKEYED AROUND WITH BUNCHES OF TEST BATCHES UNTIL WE KNEW WE HAD A WINNER: THE NUTTIEST CHOCOLATEY-CHUNKIEST CONCOCTION-GONE-BANANAS YOU'LL EVER GO APE FOR.",4.4,108,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WALNUTS, BANANA PUREE, COCONUT OIL, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), COCOA POWDER, LEMON JUICE CONCENTRATE, GUAR GUM, NATURAL FLAVORS, MILK FAT, CARRAGEENAN, SOY LECITHIN, VANILLA EXTRACT",BANANA
22_bj,CINNAMON BUNS®,CARAMEL ICE CREAM WITH CINNAMON BUN DOUGH & A CINNAMON STREUSEL SWIRL,"OUR COOL SALUTE TO CINNAMON BUNS IS SO CINNAMON-STREUSELED & DOUGH-LOADED, THERE'S NO TELLING WHERE THE CINNAMON BUNS END OR THE ICE CREAM BEGINS. THAT'S BECAUSE IT'S ONE FUN FLAVOR ALL THE WAY THROUGH. ENJOY!",4.6,83,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, DRIED CANE SYRUP, WHEAT FLOUR, CORN SYRUP, EGG YOLKS, BROWN SUGAR, SOYBEAN OIL, BUTTER (CREAM, SALT), SPICE, COCONUT OIL, MOLASSES, SALT, SOY LECITHIN, SODIUM BICARBONATE, VANILLA EXTRACT, GUAR GUM, CARRAGEENAN",CARAMEL
23_bj,COFFEE COFFEE BUZZBUZZBUZZ!®,COFFEE ICE CREAM WITH ESPRESSO BEAN FUDGE CHUNKS,"SOMEWHERE BETWEEN THE CREAMY COFFEE COFFEE ICE CREAM & THE BUZZBUZZBUZZ OF ESPRESSO FUDGE, IT HITS YOU: YOU’RE WIDE AWAKE & IN LOVELOVELOVE.",4.9,47,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COFFEE EXTRACT, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), COFFEE, COCOA POWDER, SOY LECITHIN, GUAR GUM, VANILLA EXTRACT, CARRAGEENAN",COFFEE
24_bj,COFFEE TOFFEE BAR CRUNCH,COFFEE ICE CREAM WITH FUDGE-COVERED TOFFEE PIECES,COFFEE WHAT BAR CRUNCH?  WE GAVE THIS FLAVOR A NEW NAME TO GO WITH THE NEW TOFFEE BARS WE’RE USING AS PART OF OUR COMMITMENT TO SOURCE FAIRTRADE CERTIFIED AND NON-GMO INGREDIENTS.  WE LOVE IT AND KNOW YOU WILL TOO!,2.9,302,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COFFEE EXTRACT, EGG YOLKS, BUTTER (CREAM, SALT), ALMONDS, COCOA (PROCESSED WITH ALKALI), MILK, SOY LECITHIN, COCOA, NATURAL FLAVOR, SALT, VANILLA EXTRACT, VEGETABLE OIL (CANOLA, SAFFLOWER, AND/OR SUNFLOWER OIL), GUAR GUM, CARRAGEENAN",COFFEE
25_bj,COLD BREW CARAMEL LATTE,COLD BREW & SWEET CREAM ICE CREAMS WITH SALTED CARAMEL SWIRLS,"IF YOU’VE BEEN LOOKING FOR A MORE CHILLACIOUS WAY TO GET YOUR BEN & JERRY’S ON, THIS DREAMY LATTE-INSPIRED ICE CREAM MADE WITH COLD BREW COFFEE, RICH SWEET CREAM, & SALT-KISSED CARAMEL IS A MIGHTY COOL & EUPHORIC MOTORVATOR.",4.6,10,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), CORN SYRUP, EGG YOLKS, SUGAR, BUTTER (CREAM, SALT), COFFEE, SEA SALT, GUAR GUM, CARAMELIZED SUGAR SYRUP, CARRAGEENAN, BAKING SODA",COLD BREW & SWEET CREAM
26_bj,EVERYTHING BUT THE...®,"A COLLISION OF CHOCOLATE & VANILLA ICE CREAMS MIXED WITH PEANUT BUTTER CUPS, FUDGE-COVERED TOFFEE PIECES, WHITE CHOCOLATEY CHUNKS & FUDGE-COVERED ALMONDS","WE'VE COMBINED SOME OF YOUR MOST FAVORITE BEN & JERRY'S FLAVORS & SWIRLED THEM INTO EVEN BIGGER SHOW-STOPPERS. NOW YOU CAN ENJOY THEM IN TASTY, TWISTED TANDEM!",3.8,72,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, PEANUTS, ROASTED ALMONDS (ALMONDS, PEANUT OIL), PARTIALLY DEFATTED PEANUT FLOUR, DRIED CANE SYRUP, BUTTER (CREAM, SALT), VANILLA EXTRACT, MILK, COCOA, SOY LECITHIN, ALMONDS, SALT, GUAR GUM, NATURAL FLAVORS, MILK FAT, BUTTEROIL, VEGETABLE OIL (CANOLA, SAFFLOWER, AND/OR SUNFLOWER OIL), CARRAGEENAN, CORN MALTODEXTRIN",CHOCOLATE & VANILLA
27_bj,GLAMPFIRE TRAIL MIX™,"CHOCOLATE ICE CREAM WITH CRUNCHY PRETZEL SWIRLS, MARSHMALLOW SWIRLS & FUDGE-COVERED ALMONDS","INSPIRED BY GLAMPFIRE TALES OF OUTDOORSY GETAWAYS FILLED WITH INDOORSY PERKS, OUR TRAIL MIX IS UBER-CHOCOLATEY, NUTTY, MARSHMALLOWED-&-PRETZELED, SO YOU CAN GET LOST IN THE DESSERT WITHOUT LEAVING THE YURT.",4.7,68,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, COCOA (PROCESSED WITH ALKALI), CORN SYRUP, SUGAR, CANOLA OIL, WHEAT FLOUR, CORN STARCH, ROASTED ALMONDS (ALMONDS, PEANUT OIL), DRIED CANE SYRUP, COCONUT OIL, EGG YOLKS, SALT, MILK FAT, COCOA, EGG WHITES, SOY LECITHIN, BUTTEROIL, VANILLA EXTRACT, GUAR GUM, TAPIOCA STARCH, NATURAL FLAVOR, PECTIN, SOYBEAN OIL, BAKING SODA, CARRAGEENAN, BARLEY MALT",CHOCOLATE
28_bj,HALF BAKED®,CHOCOLATE & VANILLA ICE CREAMS MIXED WITH GOBS OF CHOCOLATE CHIP COOKIE DOUGH & FUDGE BROWNIES,"BEN & JERRY’S IS PROUD TO PARTNER WITH FELLOW B CORPS GREYSTON & RHINO BAKERIES TO BRING YOU HALF BAKED. THE INCREDIBLE STORIES BEHIND BOTH THE FUDGE BROWNIES & COOKIE DOUGH MAKE THIS A FLAVOR THAT NOT ONLY TASTES GOOD, BUT DOES GOOD.",4.7,887,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, WHEAT FLOUR, BROWN SUGAR, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, BUTTER (CREAM, SALT), COCOA POWDER, EGGS, EXPELLER PRESSED SOYBEAN OIL, SOYBEAN OIL, INVERT CANE SUGAR, CHOCOLATE LIQUOR, VANILLA EXTRACT, SALT, EGG WHITES, GUAR GUM, MOLASSES, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, SOY LECITHIN, BAKING SODA, MALTED BARLEY FLOUR",CHOCOLATE & VANILLA
29_bj,ICE CREAM SAMMIE,VANILLA ICE CREAM WITH CHOCOLATE SANDWICH COOKIES & CHOCOLATE COOKIE SWIRLS,"TO CAPTURE THE GREAT TASTE OF THE CLASSIC ICE CREAM SANDWICH IN A FLAVOR THAT’S NOT ACTUALLY A SANDWICH, WE PACKED OUR CREAMY-RICH VANILLA ICE CREAM WITH CHOCOLATE SANDWICH COOKIES & SWIRLS, BEST-CAPTURED, BY YOU, WITH A SPOON.",5.0,31,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WHEAT FLOUR, CANOLA OIL, EGG YOLKS, COCOA PROCESSED WITH ALKALI, COCONUT OIL, SUNFLOWER OIL, COCOA, BUTTEROIL, SALT, BAKING SODA, TAPIOCA STARCH, NATURAL FLAVORS, GUAR GUM, SOY LECITHIN, VANILLA EXTRACT, NATURAL FLAVOR, CARRAGEENAN",VANILLA
